review,sentiment,label
jeez this was immensely boring the leading man christian schoyen has got to be the worst actor i have ever seen and another thing if the character in the movie moved to america when he was ten or something and had been living here for over 20 years he would speak a lot better english than what he pulls of here or to say it in my own language skikkelig gebrokkent but it is cool to see norwegian dudes in a movie made in hollywood it was just a damn shame they were talentless hacks the storyline itself is below mediocre i have a suspicion that christian schoyen did this movie just to live the dream as he clearly does in the film by humping one beautiful babe after another,negative,0
great just great the west coast got dirty harry callahan the east coast got sharky burt reynolds plays sharky in sharkys machine and i enjoyed every minute of it playing a maverick narcotics cop in atlanta ga is just what everyone wants instead of suspension hes sent to vice squad like in the dirty harry movies or any other cop movies the captain is always going to be the jerk when i was a kid i was curious what that movie meant sharkys machine well i knew who played sharky i wonder what his machine was it was his group of fellow cops after uncovering the murder he goes all out to find the perp when it turns out to be a big time mob boss sharky doesnt play around when he gets the other prostitute into safety sharky fights back hard and good despite losing a finger to the thug and i also like the part where the bad gets blown out of the building through a plate glass window that was the bomb randy crawfords street life really put the movie in the right mood and the movie itself is really a great hit to me always rating 4 out of 5 stars,positive,1
its made in 2007 and the cg is bad for a movie made in 1998 at one part in the movie there is a stop motion shot of a dinosaur that actually looks good but this just makes the extremely amateur work on the cg stuff look even worse  the writing acting directing and everything else in this movie is just terrible this is as bad as if not worse than raptor island and 100 million bc pure crap again as with the other movies the only scary part about this movie is that it actually got made and is now being aired on the scifi channel  i still cant understand how they somehow get people who do have some acting skills to act in these movies and then somehow get them to act as terrible as everyone else in the movie  for those of you who are unsure the other poster is obviously being sarcastic in his review or he is one of the people who worked on this movie,negative,0
this movie stinks majorly the only reason i gave it a 3 was because the graphics were semi charming its total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings this is by far the worse anime that came out of japan i cant believe they actually put their names on this garbage what a rip off selling this thing for 20 if you havent seen this dont bother if you have i pity you,negative,0
we can start with the wooden acting but this film is a disaster having grown up in ny i can tell you that this film is an insult to anyone who is familiar with the community or the people im not even a defender of the culture in any way and found this to be a hollywoodized piece of trash to fit its own fictional ridiculous culture presentation and language that anyone who watches seinfeld knows is inaccurate this is a colossal waste of time and even worse is not exactly interesting since the outcome is obvious and the scenes of confrontation are laughably bad who acts this way nobody  the writers name sounds israeli or something of that nature but it is clear he doesnt have a clue about the subject he is writing about looking at his bio it is shocking he lived in new york and wonder how much real connection he had with the community even mediocre films like a stranger among us are better and more closer to the truth than this dreck reading this guys credits its no wonder he has written scripts on all c grade films that somehow feature stars shocking perhaps he knows someone because this script is even below par for a bad dolph lundgren film,negative,0
this movie starts off somewhat slowly and gets running towards the end not that that is bad it was done to illustrate character trait degression of the main character consequently if you are not into tragedies this is not your movie it is the thought provoking philosophy of this movie that makes it worthwhile if you liked dostoyevskys crime and punishment you will probably like this if only for the comparisons the intriguing question that the movie prompts is what is it that makes a renowned writer completely disregard his publiclyaproved ideas for another set the new ideas are quite opposed to the status quoif you are a conservative you will not like this movie   besides other philosophical questions i must admit that the movie was quite aesthetically pleasing as well the grassy hillsides and beautiful scenery helped me get past the slow start also there was use of coloric symbolism in representing the mindstate of the main characters if these sorts of things do not impress you skip it overall i give this movie a 7,positive,1
this is a slightly uneven entry with one standout sequence involving an overthehill gang reminiscing in the diner that once  thirty years previously  was their hideout one hohum duologue between two ageing rock musos a noirish kidnap turned on its head and an opening sequence plus epilogue involving heist artist wannabe edward baer and current hot property anna magloulis which has its moments no movie in which jean rochefort appears can be dismissed lightly and here he shines as one of the overthehill quintet indeed the film is worth seeing for rochefort alone but each of the sequences has something to offer and its definitely worth a look,positive,1
i was first introduced to john waters films by seeing female trouble on ifc i was disgusted but for some sick reason i enjoyed it then i picked up the pink flamingos dvd in the john waters boxed set the movie is about babs johnson the filthiest person alive who lives in a trailer in maryland with her obese egg obsessed motherand her deranged son crackers in the movie you will see such sick sights as sex with chickens dragqueens people eating feces torture and all other sorts of random humiliation the film has a soundtrack from 60s rock and roll artists the only problem is that some parts of the film seem to drag on and can get a little boring i found female trouble a little more fun rated nc17 for explicit sex violence and disturbing images enjoy,positive,1
this movie has very good acting by virtually all the cast a gripping story with a chilling ending great music and excellent visuals without significant special effects it is interesting to note though that like so much science fiction its predictions for the future dont appear likely to come to pass as early as depicted thats not to say were out of the woods yet but 2022 is now obviously too soon to be in this condition it shares this failing with a fairly illustrious list of science fiction classics 1984 2001 a space odyssey compare its space station with our international space station and isaac asimovs i robot positronic brains were to have been invented in the 1990s,positive,1
i cant help but notice the negative reviews this movie has gotten to be honest i saw the preview for this movie and the premise looked intrigued me yes i rented it after reading others comments they are correct in that some of the acting leaves a lot to be desired they are also correct that one of the best performances of this movie was that of dr graves  also interesting is scott clark who plays grant the kid in the wheelchair i identify with the character he played perhaps because i am in a wheelchair  this movie is certainly worth your looking at,positive,1
the production quality cast premise authentic new england waterbury ct locale and lush john williams score should have resulted in a 34 star collectors item unfortunately all we got was a passable 2 star decent flick mostly memorable for what it tried to dobring an art house style film mainstream the small town locale and story of ordinary people is a genre to itself and if well done will satisfy most grownups jane fonda was unable to hide her braininess enough to make her character believable i wondered why she wasnt doing a post doctorate at yale instead of working in a dead end factory job in waterbury robert diniros character was just a bit too contrived an illiterate nice guy loser who turns out to actually be with a little help from janes character a 1990 version of henry ford or thomas edison  this genre has been more successfully handled by nobodys fool in the mid 90s and this years 2003 about schmidt i wish that the main stream studios would try more stuff for post adolescents and reserve a couple of screens at the multi cinema complexes for those efforts  ill give it an a for effort,positive,1
ive never really been sure whether i liked this documentary or not it was shown on channel 4 before a cut down version of revelations and is on the revelations video tape before the uncut show the documentary is basically friends of bill saying how great he was for an hour with video clips of the show mixed in a bit like a trailer for the film youre about to watch it also features david letterman grovelling like a worm for dumping bill off the his show before he died the reason bill made a joke about how prolife people should picket funerals and letterman had prolife advertising anyway look out for the video as revelations is bill at his ranting best ,positive,1
send them to the freezer this is the solution two butchers find after they discover the popularity of selling human flesh an incredible story with humor and possible allegories that make it much more than a horror film the complex characters defy superficial classification and make the story intriguing and worthwhile  if you can stand it definitely a dark film but also a bit redemptive,positive,1
this movie was released originally as a soft x apparently with the explicit sex deleted later the producers relented smelled money and rereleased it with the excised scenes restored apparently only about 3 minutes i guess since kristine was of age it was held against her and her promising career came grinding to a halt i guess its all in the timing witness pam andersons careerbut ronald reagan was in charge during kristines debacle we had not heard about nancy reagans affairs bill clinton and monica lewinski were in full swing during pams coming out  the sex is just icing on the cake both version satisfy this naughty musical is way above similar of others that were released at the same time,positive,1
with all this stuff going down at the moment with mj ive started listening to his music watching the odd documentary here and there watched the wiz and watched moonwalker again maybe i just want to get a certain insight into this guy who i thought was really cool in the eighties just to maybe make up my mind whether he is guilty or innocent moonwalker is part biography part feature film which i remember going to see at the cinema when it was originally released some of it has subtle messages about mjs feeling towards the press and also the obvious message of drugs are bad mkay  visually impressive but of course this is all about michael jackson so unless you remotely like mj in anyway then you are going to hate this and find it boring some may call mj an egotist for consenting to the making of this movie but mj and most of his fans would say that he made it for the fans which if true is really nice of him  the actual feature film bit when it finally starts is only on for 20 minutes or so excluding the smooth criminal sequence and joe pesci is convincing as a psychopathic all powerful drug lord why he wants mj dead so bad is beyond me because mj overheard his plans nah joe pescis character ranted that he wanted people to know it is he who is supplying drugs etc so i dunno maybe he just hates mjs music  lots of cool things in this like mj turning into a car and a robot and the whole speed demon sequence also the director must have had the patience of a saint when it came to filming the kiddy bad sequence as usually directors hate working with one kid let alone a whole bunch of them performing a complex dance scene  bottom line this movie is for people who like mj on one level or another which i think is most people if not then stay away it does try and give off a wholesome message and ironically mjs bestest buddy in this movie is a girl michael jackson is truly one of the most talented people ever to grace this planet but is he guilty well with all the attention ive gave this subjecthmmm well i dont know because people can be different behind closed doors i know this for a fact he is either an extremely nice but stupid guy or one of the most sickest liars i hope he is not the latter,positive,1
i went to see hamlet because i was in between jobs i figured 4 hours would be great ive been a fan of branagh dead again henry v i was completely overwhelmed by the direction acting cinematography that this film captured like other reviews the 4 hours passes swiftly branagh doesnt play hamlet he is hamlet he was born for this when i watch this film im constantly trying to find faults ive looked at the goofs and havent noticed them how he was able to move the camera in and out of the hall with all the mirrors is a mystery to me this movie was shot in 70 mil its a shame that columbia hasnt released a widescreen version of this on vhs i own a dvd player and id take this over titanic any day so columbia if youre listening put this film out the way it should be watched and i dont know what happened at the oscars this should have swept best picture best actor best direction best cinematography what films were they watching i felt sorry for branagh at the oscars when he did a tribute to shakespeare on the screen they should have been giving a tribute to branagh for bringing us one of the greatest films of all time,positive,1
after three outstanding bbc television series and a christmas special the bizarre and grotesque yet perversely lovable characters of bleak fictional town royston vasey make the jump to celluloid along with their creators  the league of gentlemen   mark gatiss steve pemberton and reece shearsmith are the more familiar threequarters of the foursome with the central roles shared between the trio in an added twist the final member of the team  jeremy dyson  is portrayed by actor michael sheen   where to start dyson sheen is in conversation with his writing cohorts when  horror of horrors  he is paid a visit by two of his grisliest characters both tubbs pemberton and edward tattsyrup shearsmith are unhappy at the leagues decision to kill off the vasey inhabitants youre not real screams dyson in vain as the local shopkeepers from hell exact their revenge mayhem ensues as reality and vasey converge with the vast array of characters entering our world to save theirs   confused you will be as the camp innuendoridden teutonic herr lipp pemberton is forced to take on the daily guise of pemberton pemberton while pemberton pemberton is kidnapped by cannibalistic butcher hillary briss gatiss and geoff tipps shearsmith   with shades of an even more demented misery briss attempts to force pemberton to rewrite the film  thus continuing his life  but leaving geoff in charge is never a good idea the erstwhile comedian becomes embroiled in the leagues latest postvasey adventure  the kings evil  entering a typically twisted 17th century england complete with cameos from victoria wood peter kay and david warner known as george of asda due to his select line of clothing geoff saves the day and is treated as a hero but for the denouement of the film he joins characters old and new at the church of royston vasey to meet with their makers   for fans of the series the film is a mustsee and yes it does feature papa lazarou albeit a little too fleetingly penloving pauline mickey barbara and cursed vet matthew chinnery are some of the other favourites on show and the leagues portrayal of themselves plus sheens as dyson is also a fascinating insight   the league of gentlemen are the radiohead of british comedy  they are ambitious groundbreaking witness the excellent series three and not happy to rest on their laurels they also divide opinion accordingly  certainly their macabre sense of humour is not for every palate and while not written exclusively for fans a grasp of the storyline would benefit those who have previously viewed the series nevertheless apocalypse is a film in its own right and the league will no doubt manage to attract a new breed of fan as well as appeasing and pleasing existing ones,positive,1
the film is hugely enjoyable with a great cast and excellent direction by james eves the movie is entertaining with a very charismatic performance from stephanie beecham and everyone is perfectly cast james eves has a good eye for casting and directs like a conductor knowing exactly when to crank up the action fall and then rise to a climax he does this with an element of humour plenty of twists thrills and blood this is a return of the old vampire movie with loads of gore blood and screams the movie works at a great speed and the characters take you on a terrific adventurebut what makes it work is that the film doesnt take itself too seriously with plenty of tongue in cheek actiongreat ,positive,1
im writing this note as a chess player as well as as a movie viewer i watched the 1997 kasparovdeep blue games on the internet i know something about the issues that were raised other chess players will come along and want to know whether this movie is worth seeingbuying and im talking largely to them however ill try not to ignore those who arent into chess  this movie is about the 1997 match between garry kasparov and the custombuilt computer deep blue however the first image you see in the movie is not of kasparov or of the computer but of the turk this is an automaton which was built in europe at the turn of the 18th19th century and played winning chess against all comers i put the word automaton in quotes because it was as everyone now knows a fake there was a man inside it  if you dont like seeing the turk then you wont be able to stand the movie because the turk has as much screen time as kasparov maybe more both in modern footage and in bw footage from some old movie the reappearance of the turk every few seconds underscores kasparovs charge that deep blue had human assistance  that it was to some degree a fake computer that ibm cheated that there was a man inside it working behind the scenes to help it win not only does kasparov believe this but the filmmakers seem to believe it too and so this is not really much of a movie about chess games or about programming chess computers it is a propaganda piece about a big corporation supposedly misusing a helpless grandmaster really it is a lot like a negative campaign ad as it is chock full of ominous music and evocative camera work and spooky sound effects and innuendos we never found out what was behind that locked door and the everpresent turk  now most people in the chess community are pretty much convinced that ibm did not cheat and that this was garrys paranoia at work to start with in order for a human to help deep blue beat kasparov it would seem that you would need a human who was better than deep blue and better than kasparov since there was no such person the whole idea is a bit suspect from the start furthermore by the time this movie was made there were computer programs that could run on your pc that could beat strong grandmasters today much more than in 1997 we take it for granted that a computer can do things you might not expect and we are less likely to take it as a monumental human tragedy that a computer beat a guy in chess and in fact the bottom line is that kasparov beat himself with two bad mistakes including resigning game 2 in a drawn position   as for the chess games you actually see very little of them there are a few comments from masters and commentators that tell briefly how they went but really you dont get to see hardly any of the strategy or tactics at all naturally as a chess player i take this as a major shortcoming but i think that nonplayers are being cheated too imagine a baseball movie for example where you dont hardly get to see any of the game  just a commentator telling you that in game four the white sox defeated the astros with such and such a score nobody would make a movie like that but here for example we are told that kasparov made a bad blunder in the opening of the decisive game 6 but we arent shown the position on the screen or told why it was a blunder or what he should have done instead or anything we just see a few seconds of kasparov holding his head in his hands and then more atmospheric sound effects and camera work  since i saw this on dvd let me warn chess players about the dvd as well the jacket promises you that the extras include the games with analysis is this grandmaster analysis which people like us might find interesting no it is the automated computer voice synthesizer analysis from some version of chessmaster that tells you when a piece is attacked and a pawn gets isolated and that you are in the carokann defense main line blahhhh   someone might then come along and say well clearly this movie is meant to dramatize the match for the nonplayer and so its unfair to be impatient with it but actually it doesnt do a very good job of reaching out to the nonplayer either  it skates over some points that a true novice would really want to have explained for example it says that kasparov could have gotten perpetual check in the second game but it doesnt explain what that is or show what it would have looked like on the board which would have been interesting it flashes back to the kasparovkarpov matches but doesnt explain why there were two of them or who organized them etc i didnt need this information myself but im familiar with it if you dont already have chess experience there are places where you are going to be confused and this is just a defect in the film  ultimately i cant recommend the movie which like the turk itself is not what it purports to be a documentary but more of a stage illusion,negative,0
three kids are born during a solar eclipse and turn into vile murderous little tykes whore above suspicion by everyone save for joyce lori lethin and her younger brother timmy thats the story in a nutshell the acting in this one is tolerable for the most part notable for mtvj julie brown not the downtown one showing some skin and a very early part albiet small for michael dudikoff not a great film by any stretch of the imagination but in the killer kids subgenre its a bit of a guilty pleasure  eye candy julie brown shows ta the only film thus far to claim that honor sylvia wright gets topless   dvd extras r1 16 minute interview with producer max rosenberg wherein he insults the director and canada great stuff biography of ed hunt and trailers for kiss of the taratula dont open the door  a redband one for homework which features nudity   my grade b,positive,1
dysfunctional family goes home for the holidays and murder and mayhem result violent sexy milligan at his most home made little better than a home movie as much of milligans films are this is a trip into depravity 1960s style notable for the copious nudity and sex this film is neither sexy nor gruesome playing now more as quaintthough decidedly r rated the film suffers from its uneven cast and from the cheapness of the productionno one was ever sure where the money went on his movies since he was always broke its a bad bad movie thats not worth seeing except as a milligan completeist or because its got some good looking people fooling around,negative,0
this film wont win any awards for greatness but if you have an hour and a half free and fancy a bit of light hearted entertainment then you could do much worse than watch this  the cast are mostly young and pretty the script has some genuinely funny moments and the soundtrack is pretty cool too rupert penryjones as jake seems to have the most fun while laura fraser as justine is sweet likable and funny  i rented it because i like the series spooks that rpj is currently starring in and here hes young and buff and the perfect eye candy for a girls night in  get some wine and some ice cream and have a chuckle,positive,1
if you enjoy seeing what must have started as a 2 hour movie in unconnected bursts of unwatchability youll love this film otherwise youll just wonder how they could have made such a film from something so simple to translate to the big screen as inspector gadget  in the previews for the film many scenes were shown which were not in the film and within the film some scenes just dont make sense while the movie is slightly less than 1 hour and a half i can only think of one truly memorable moment and that is just before or during the credits  ,negative,0
i clerk in a video store so i try to see the movies were about to put out each week i dont have a problem with this in fact i sort of feel its a privilege not so with this film    after an hour and a half of our hero whining and growling his way through scene after scene i was truly wondering if they planned to get to the point i felt like i should be getting paid for watching this at home in my free time and if id known there was another hour to be endured i might have given up right then i didnt care about the characters the filming was unremarkable and ford made kissing look like a chore even the score was incongruous and jarring what a waste,negative,0
definitely one of the lesser of the astairerogers musicals its just very poorly plotted and paced it only runs a few minutes longer than swing time for example but it feels a heck of a lot longer this is partly due to the secondary romance between randolph scott and harriet hilliard scott is rarely ever interesting i like hilliard shes sweet and i love at least one of her songs but where are you get thee behind me satan her other number is a weak leftover from top hat thankfully cut from that masterpiece follow the fleet would actually be a bad film if not for at least three brilliant dance sequences between astaire and rogers the dancing contest vies for the top spot of any of their numbers the dance is just fantastic im putting all my eggs in one basket presents the two rehearsing a dance that they dont quite have perfected yet its imperfections make it all the more perfect and lets face the music and dance is easily one of irving berlins best songs so the film is well worth watching for its great moments,positive,1
gwoemul the host  due to pollution in the han river a mutated beast goes on the rampage the youngest member of the park family is snatched by the beast and it is up to the rest of her family to find her before she becomes the beasts latest meal  firstly i love monster movies mutated bears oversized alligators packs of ravening komodo dragons the whole lot creature features are my favourite kind of horror film so i really wanted to like the host but it wasnt to be   there were three major problems with it  the first can be seen with a quick look at its imdb page  genre action  comedy  drama  fantasy  horror  scifi  thriller  too many damned genres it took itself too seriously to be a comedy and yet was too light hearted to have any real message though it did seem to be trying to make some kind of statement antipollution antiamerican or antigovernment the drama was misplaced and mixed in a confusing mishmash with all the other styles  secondly after the initial monster attack nothing happens for almost the entire film the central family wander about looking for one of their own while the governments of korea and america apparently do nothing and thats it they just wander about occasionally hitting one another presumably for a bit of comedy relief this lack of action made my attention wander and apparently it did the same for the director as whole plot threads go unresolved a mystery plague invented by the evil americans is completely forgotten about and is never resolved  and lastly the film is clumsily political it paints the americans as being stupid and evil but gives us no american characters with any more depth than a cartoon villain the opening scene has the most obvious stupid american vs wise korean moment with a korean morgue assistant asking his boss the coroner not to pour chemicals into the han river the american coroner all but cackles maniacally as he orders the assistant to carry on as well as being racist its lazy filmmaking and there is no excuse for that  on the plus side the monster is good kind of a mix of the relic and deep rising some of the movement effects are quite cool and the initial monster chase through the park is a lot of fun there are also some nice shots in the film some of which remind me strangely of the way firefly was filmed shuddering cameras out of focus shots etcthere is also a nice scene at the end where the hero and a little boy he has saved are sitting in the familys mobile food stall its nighttime and snow is falling the streetlamp is giving out a cold light but the food stall has a warm glow coming from it  overall i was really disappointed by this film id been looking forward to a decent creature flick and instead i get some pseudopoliticalhorrorcomedy lite looking at the comments on imdb i cant help but think that if this had been a us production it would have been slated just cause its a foreign flick doesnt mean its any good there have been some great movies out of korea in recent years the vengeance trilogy and brotherhood for example but this certainly isnt one of them   for once im in favour of a remake tighten up the directing improve the scripting and this could have been a nice film as it is its not worth a couple of hours of anyones time,negative,0
